Date,Revenue,Orders,Traffic,Conversion_Rate,Cost,Refunds
2026-08-01,85000,850,12000,7.08,42000,1200
2026-08-02,87000,875,12300,7.11,43000,1100
2026-08-03,89000,900,12500,7.20,44000,1300
2026-08-04,86000,870,12100,7.19,42500,1250
2026-08-05,91000,920,12800,7.19,45000,1400
2026-08-06,88000,890,12600,7.06,43500,1350
2026-08-07,90000,910,12700,7.17,44500,1300
2026-08-08,92000,930,13000,7.15,45500,1450
2026-08-09,89000,900,12700,7.09,44000,1350
2026-08-10,87000,880,12400,7.10,43000,1200
2026-08-11,91000,920,12900,7.13,45000,1400
2026-08-12,93000,940,13200,7.12,46000,1500
2026-08-13,88000,890,12600,7.06,43500,1300
2026-08-14,90000,910,12800,7.11,44500,1350
2026-08-15,52000,540,12500,4.32,44000,2800
